"yymm","year","month","url","row","good","medida","cantidad","precio","total","id","ym","categoria","ipc","ipc_estimado","precio_real","total_real"
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","30","Jabón de baño","unidad",4.67,3.1,14.477,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,8.36938535562422,39.0850296107651
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","31","Toallas sanitarias","bolsa de 10 unid",2.21,8.84,19.5364,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,23.8662472721671,52.7444064714894
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","32","Desodorante nacional","unidad",1.9,14.44,27.436,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,38.9851369468431,74.071760199002
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","33","Cepillo dental","unidad",2.49,7.74,19.2726,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,20.8964653717843,52.032198775743
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","34","Alquiler","valor (c$) mensual",1,900,900,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,2429.82155485864,2429.82155485864
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","35","Gas butano","25 libras",1,240.27,240.27,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,648.681361095429,648.681361095429
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","36","Luz eléctrica","kwh",100,1.892877,189.2877,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,5.11039259477352,511.039259477352
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","37","Agua","galones",5292,0.015043,79.607556,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,0.0406131173885984,214.924617220463
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","38","Transporte","pasaje",240,2.5,600,3,2007-11-01,"Usos del Hogar",82.1496152386937,FALSE,6.74950431905179,1619.88103657243
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","39","Pantalón largo de tela de jeans (Hombre)","unidad",0.62,173.7610698,107.731863276,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,469.120436439264,290.854670592344
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","40","Camisa manga corta","unidad",0.66,57.27,37.7982,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,154.617644940838,102.047645660953
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","41","Calzoncillos","unidad",1.57,14.79,23.2203,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,39.9300675515104,62.6902060558713
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","42","Calcetines (Hombre)","par",1.32,14.49,19.1268,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,39.1201270332242,51.6385676838559
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","43","Zapato de cuero natural","par",0.43,210.53,90.5279,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,568.389257715989,244.407380817875
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","44","Blusa manga corta","unidad",0.66,46.4,30.624,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,125.270800161601,82.6787281066568
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","45","Pantalón largo de tela de jeans (Mujeres)","unidad",0.51,181.92021318,92.7793087218,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,491.148505832493,250.485737974571
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","46","Vestido entero","unidad",0.5,102.55,51.275,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,276.864667167504,138.432333583752
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","47","Calzones/ Bikinis","unidad",1.23,14.53,17.8719,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,39.228119102329,48.2505864958647
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","48","Brassier/sostén","unidad",0.97,18.45,17.8965,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,49.8113418746022,48.3170016183641
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","49","Sandalias de cuero sintético","par",0.44,112.55980239,49.5263130516,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,303.889148953168,133.711225539394
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","50","Traje completo","unidad",0.5,124.45,62.225,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,335.990325002398,167.995162501199
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","51","Calzones","unidad",1.43,12.2,17.446,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,32.9375810769727,47.100740940071
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","52","Calcetines (Niños y Niñas)","par",1.39,12.66,17.5974,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,34.1794898716783,47.5094909216328
"CB2007Nov",2007,"Nov","https://www.inide.gob.ni/docs/CanastaB/canastab/CB2007/CNOv07.xls","53","Zapato de cuero sintético","par",0.45,152.05,68.4225,3,2007-11-01,"Vestuario",82.1496152386937,FALSE,410.50485268473,184.727183708128
