"month","year","url","row","bien","medida","cantidad","precio","total"
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","6","Posta de cerdo","Libra",5,51.81,259.05
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","7","Carne de aves","Libra",8,27.75,222
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","8","Chuleta de pescado","Libra",9,55.26,497.34
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","9","Leche","Litro",30,19.97,599.1
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","10","Huevos","Docena",7,39.72,278.04
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","11","Queso seco","Libra",9,47.64,428.76
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","12","Tortilla","Libra",57,11.08,631.56
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","13","Pinolillo","Libra",10,20.53,205.3
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","14","Pastas alimenticias","Libra",5,21.48,107.4
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","15","Pan","Libra",27,17.36,468.72
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","16","Tomate de cocinar","Libra",14,12.93,181.02
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","17","Cebolla blanca","Libra",8,15.87,126.96
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","18","Papas","Libra",15,13,195
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","19","Ayote","Libra",32,5.89,188.48
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","20","Chiltoma","Libra",3,20.91,62.73
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","21","Plátano verde","Libra",16,5.95,95.2
"Mar",2012,"https://www.inide.gob.ni/docs/CanastaB/canastab/CB2012/CMar2012.xls","22","Naranja","Libra",46,2.92,134.32
